Clade	Subtype
CladeF	F4.4a_AM748583
CladeF	F4.4b_AM748584
CladeF	F4.5_AM748585
CladeF	F4.6_AM748586
CladeF	F4.7_AM748587
CladeF	F4.8_AM748588
CladeF	F4.8a_AM748589
CladeF	F4.8b_AM748590
CladeF	F4.8c_AJ621135
CladeF	F5.1_AM748592
CladeF	F5.1a_AM748591
CladeF	F5.1b_AJ291535
CladeF	F5.1c_AM748593
CladeF	F5.2_AM748594
CladeF	F5.2a_AM748614
CladeF	F5.2b_AM748595
CladeF	F5.2c_AM748596
CladeF	F5.2d_AJ291530
CladeF	F5.2e_AJ291533
CladeF	F5.2f_AJ291512
CladeF	F100_AF180130
CladeF	F102_AJ291534
CladeF	F104_AJ291531
CladeF	F107_AJ291512
CladeF	F109_AJ291527
CladeF	F110_AJ291526
CladeF	F111_AJ311949
CladeF	F112_AJ291528
CladeF	F113_AJ291533
CladeF	F114_AJ291525
CladeB	B1_AF333511
CladeB	B1a_AF499779
CladeB	B1b_AF499780
CladeB	B2_AF333512
CladeB	B3_AF333514
CladeB	B4_AF333510
CladeB	B5_AF499781
CladeB	B5a_AF499782
CladeB	B6_AF499783
CladeB	B7_AF499784
CladeB	B8_AF499785
CladeB	B9_AF499786
CladeB	B10_AF499787
CladeB	B11_AY239361
CladeB	B14_AY239362
CladeB	B16_AY258469
CladeB	B17_AY258470
CladeB	B18_AY258471
CladeB	B18a_AY258472
CladeB	B19_DQ865212
CladeB	B21_DQ865213
CladeB	B101_AY074986
CladeB	B110_AF360573
CladeB	B111_AF360575
CladeB	B112_AF360566
CladeB	B114_AF360564
CladeB	B115_AF360572
CladeB	B117_AF180124
CladeB	B119_EU099825
CladeB	B121_EU074870
CladeB	B122_EU074871
CladeB	B123_EU074872
CladeB	B124_EU074874
CladeB	B125_EU074865
CladeI	I1_FN561559
CladeI	I2_FN561560
CladeI	I3_FN561561
CladeI	I4_FN561562
CladeD	D1_AF334660
CladeD	D1.1_AM748564
CladeD	D1.2_AM748617
CladeD	D1.3_JF683337
CladeD	D1.4_
CladeD	D1.5_
CladeD	D1.6_HQ630881
CladeD	D1.7_Laet
CladeD	D1.8_HE579037
CladeD	D1.10_HE579039
CladeD	D1.11_HE579040
CladeD	D1.12_HE579041
CladeD	D2_AY686649
CladeD	D3_AY686650
CladeD	D4_DQ865214
CladeD	D1a_AF499802
CladeD	D1a.1_JF683338
CladeD	D1a.2_JF683339
CladeD	D1a.3_KC597691
CladeD	D1.6_HQ630881
CladeD	D100_AF411415
CladeD	D101_AF411416
CladeD	D102_AF174573
CladeD	D103_AF174575
CladeD	D104_AF174572
CladeD	D105_AF174570
CladeD	D106_AF174559
CladeD	D107_AF174568
CladeD	D108_AF174567
CladeD	D109_AB097465
CladeD	D110_AF174561
CladeD	D111_AF174560
CladeD	D112_AF174558
CladeD	D113_AF174557
CladeD	D114_AF174549
CladeD	D115_AF174562
